Category,Product Name,Sentiment,Emotion,Customer Review,topic,theme,Location,Price,Overall Rating,Number Sold,Total Review,Customer Rating
Tour and Travel,17 days ordinary dewasa Japan Rail JR Pass Shinkansen Jepang adult,Positive,Happy,Produk sesuai deskripsi. Good communication. Fast response.,9,"Responsive, friendly seller",Kota Tangerang Selatan,4439000,5.0,3014,547,5
Tour and Travel,18 days ordinary dewasa Japan Rail JR Pass Shinkansen Jepang adult,Positive,Happy,"Respon cepat, barang dpt digunakan dengan baik",9,"Responsive, friendly seller",Kota Tangerang Selatan,4439000,5.0,3014,547,5
Tour and Travel,19 days ordinary dewasa Japan Rail JR Pass Shinkansen Jepang adult,Positive,Happy,"Terima kasih atas pelayanan nya, sangat memuaskan.",5,Thanks & general praise,Kota Tangerang Selatan,4439000,5.0,3014,547,5
Tour and Travel,20 days ordinary dewasa Japan Rail JR Pass Shinkansen Jepang adult,Positive,Happy,Tepat waktu dan sesuai pesanan,12,Repeat order / as ordered,Kota Tangerang Selatan,4439000,5.0,3014,547,5
Tour and Travel,21 days ordinary dewasa Japan Rail JR Pass Shinkansen Jepang adult,Positive,Happy,"Murah, simpel, sampai sana tinggal tukar",6,Affordable / good value,Kota Tangerang Selatan,4439000,5.0,3014,547,5
Tour and Travel,Royal Tulip Gunung Geulis Resort and Golf,Positive,Happy,harga terbaik.. ada cashback.. adminnya cepat responnya. makasih banyak,5,Thanks & general praise,Jakarta Utara,1295000,5.0,200,179,5
Tour and Travel,Royal Tulip Gunung Geulis Resort and Golf,Positive,Happy,"puas ama pelayanannya, ngeladenin pertanyaan2 ama request an di penuhi smua ama pihak hotelnya, best view pula ngadep ke zen deck nya",8,Safe & neat packaging,Jakarta Utara,1295000,5.0,200,179,5
Tour and Travel,Royal Tulip Gunung Geulis Resort and Golf,Positive,Happy,Pelayanan cepat dan memuaskan,1,Fast delivery,Jakarta Utara,1295000,5.0,200,179,5
Tour and Travel,Royal Tulip Gunung Geulis Resort and Golf,Positive,Happy,Terima kasih sudah dibookingkan di sini. Pengalamannya baik semua. Lancar dan dapat kamar bagus.,5,Thanks & general praise,Jakarta Utara,1295000,5.0,200,179,5
Tour and Travel,Pullman Ciawi Vimala Hills Resort and Spa Hotel,Positive,Love,"Highly Recommend Seller, sangat ramah dan komunikatif dalam memberikan konsultasi serta sabar dalam menjelaskan detail pertanyaan. Proses ordering hingga terbit Vouchernya sangat cepat. Good Job ????????",3,"Responsive, friendly seller",Jakarta Utara,1270000,5.0,121,46,5
Tour and Travel,Pullman Ciawi Vimala Hills Resort and Spa Hotel,Positive,Love,mantap...sangat agresif..proses cepat...recommended,9,"Responsive, friendly seller",Jakarta Utara,1270000,5.0,121,46,5
Tour and Travel,Pullman Ciawi Vimala Hills Resort and Spa Hotel,Positive,Love,mantap!..jgn ragu2..langsung saja booking....recommended!..,13,Thanks & general praise,Jakarta Utara,1270000,5.0,121,46,5
Tour and Travel,Pullman Ciawi Vimala Hills Resort and Spa Hotel,Positive,Love,mantap..kinerjannya cepat..sangat responsif...recommended !..,9,"Responsive, friendly seller",Jakarta Utara,1270000,5.0,121,46,5
Tour and Travel,Pullman Ciawi Vimala Hills Resort and Spa Hotel,Positive,Love,order ke dua dan mantab,12,Repeat order / as ordered,Jakarta Utara,1270000,5.0,121,46,5
Tour and Travel,Pullman Ciawi Vimala Hills Resort and Spa Hotel,Positive,Love,Mantap Banget. Best price dan pelayanan sangat responsif. Thumbs up!,3,"Responsive, friendly seller",Jakarta Utara,1270000,5.0,121,46,5
Tour and Travel,DUFAN (Dunia Fantasi) - REGULER WDAY,Positive,Love,"faaaassst respon bangeeettt, seller bener2 ngabantuin.. puaaaaaasssss... makasih ya... recommended bangeeett...",13,Thanks & general praise,Kota Tangerang Selatan,255000,5.0,322,82,5
Tour and Travel,DUFAN (Dunia Fantasi) - REGULER WDAY,Positive,Love,Recomended seller. Dibimbing sampai dapat tiket & ecardnya. Masuk ancol & dufan tadi lancar. Terima kasih banyak.,13,Thanks & general praise,Kota Tangerang Selatan,255000,5.0,322,82,5
Tour and Travel,DUFAN (Dunia Fantasi) - REGULER WDAY,Positive,Love,sukaaa bangett kakanya ramahh bgt dan responsif jugaaaa!!!! thank uuu,5,Thanks & general praise,Kota Tangerang Selatan,255000,5.0,322,82,5
Tour and Travel,DUFAN (Dunia Fantasi) - REGULER WDAY,Positive,Love,makasiii bgtttt aku sukakkkk,2,Good / works / authentic product,Kota Tangerang Selatan,255000,5.0,322,82,5
Tour and Travel,Royal Tulip Gunung Geulis Resort and Golf,Positive,Love,"Fast respon, next bakal order lagi disini thank you",5,Thanks & general praise,Jakarta Utara,1295000,5.0,200,179,5
Tour and Travel,Sim Card Eropa 30 Hari | Europe Simcard 30 Days Include Swiss - 8GB,Positive,Love,"barang berfungsi dengan baik, rekomended",15,Good / works / authentic product,Jakarta Pusat,199000,4.9,3283,548,5
Tour and Travel,Sim Card Eropa 30 Hari | Europe Simcard 30 Days Include Swiss - 8GB,Positive,Love,Pesanan cpt diproses dan sy sdg pakai simcard nya di Eropa. Signal bagus. Recommend bgt.,9,"Responsive, friendly seller",Jakarta Pusat,199000,4.9,3283,548,5
Tour and Travel,Sim Card Eropa 30 Hari | Europe Simcard 30 Days Include Swiss - 8GB,Positive,Love,"pelayanan nya TOP , after sales service bagus ????????",3,"Responsive, friendly seller",Jakarta Pusat,199000,4.9,3283,548,5
Tour and Travel,Sim Card Eropa 30 Hari | Europe Simcard 30 Days Include Swiss - 8GB,Positive,Love,super bintang 5 buat store ini .. bahkan libur barang dikirim sangat recommended,3,"Responsive, friendly seller",Jakarta Pusat,199000,4.9,3283,548,5
Tour and Travel,South Korea Simcard korea selatan sim card kartu data internet Seoul,Positive,Love,Fast respon Recommended seller,3,"Responsive, friendly seller",Kota Tangerang Selatan,169000,4.9,1491,305,5
Tour and Travel,South Korea Simcard korea selatan sim card kartu data internet Seoul,Positive,Love,"Fast respond, sellernya ramah packing rapi pengiriman cepat... Recommended",3,"Responsive, friendly seller",Kota Tangerang Selatan,169000,4.9,1491,305,5
Tour and Travel,South Korea Simcard korea selatan sim card kartu data internet Seoul,Positive,Love,"Kerennnn, sampai Di Korea, hp on, data on, roaming on, gak perlu setting.. Langsung bs digunakan?????? Order cpt, produk OK.. Recommended seller??????",12,Repeat order / as ordered,Kota Tangerang Selatan,169000,4.9,1491,305,5
Tour and Travel,South Korea Simcard korea selatan sim card kartu data internet Seoul,Positive,Love,"Selalu langganan beli simcard dan JR Pass di sini. Servicenya oke banget, chat WA responsif dan pengiriman cepat sekali ketika sy minta urgent. Puas banget dan akan tetap jadi langganan. Terima kasih!",1,Fast delivery,Kota Tangerang Selatan,169000,4.9,1491,305,5
Tour and Travel,South Korea Simcard korea selatan sim card kartu data internet Seoul,Positive,Love,"ke 4x beli simcard disini, response sangat cepat dari penjual. Terima Kasih",3,"Responsive, friendly seller",Kota Tangerang Selatan,169000,4.9,1491,305,5
Tour and Travel,Royal Tulip Gunung Geulis Resort and Golf,Positive,Love,"Best bgt sih ini, fast respon, best price, prosesnya cepet bgt, satu lagi helpfull dibantuin ganti tgl karena di tgl pas booking mendadak ada halangan kirain bakal hangus tiketnya gak taunya dibantu proses reschedulenya pokoknya best bgt bakal jadi langganan",9,"Responsive, friendly seller",Jakarta Utara,1295000,5.0,200,179,5
Tour and Travel,Royal Tulip Gunung Geulis Resort and Golf,Positive,Love,"Harga jauh lebih murah , fast response, ramah, dan sangat recommended. Pastinya akan order disini lagi. Pertahankan ya kak the best ????",6,Affordable / good value,Jakarta Utara,1295000,5.0,200,179,5
Tour and Travel,Royal Tulip Gunung Geulis Resort and Golf,Positive,Love,"proses kirim vouchernya cpt. cm blm check in sih. semoga ga ada masalah sampai hari h. harganya ok banget dbanding agent sejenis dan sellernya responsif, suka jadinya",15,Good / works / authentic product,Jakarta Utara,1295000,5.0,200,179,5
Tour and Travel,Royal Tulip Gunung Geulis Resort and Golf,Positive,Love,Mantapppppppppppp,11,Thanks & general praise,Jakarta Utara,1295000,5.0,200,179,5
Tour and Travel,Royal Tulip Gunung Geulis Resort and Golf,Positive,Love,"check in nya gampang bgt, cuma kasih liat aja invoice sama KTP next, mau lah order voucher lagi di sini makasih",12,Repeat order / as ordered,Jakarta Utara,1295000,5.0,200,179,5
Tour and Travel,Royal Tulip Gunung Geulis Resort and Golf,Positive,Love,Lancaaaaarr semuanya. Kamarnya bagus. Terimakasih banyak yaaaaa ????,5,Thanks & general praise,Jakarta Utara,1295000,5.0,200,179,5
Tour and Travel,Royal Tulip Gunung Geulis Resort and Golf,Positive,Love,"terima kasih kak, puas beli voucher tiket disini, recommended seller ??",13,Thanks & general praise,Jakarta Utara,1295000,5.0,200,179,5
Tour and Travel,PROMO TIKET UNIVERSAL STUDIO SINGAPORE ADULT TERMURAH!!,Positive,Love,toko langanan aing,3,"Responsive, friendly seller",Kota Bekasi,749900,5.0,9299,1001,5
Tour and Travel,PROMO TIKET UNIVERSAL STUDIO SINGAPORE ADULT TERMURAH!!,Positive,Love,Orangnya ramah. Voucher dikirim via email. Gak lama transfer langsung dikirim. Mantap gan. Makasih ya .. Bakal jadi langganan nih.,5,Thanks & general praise,Kota Bekasi,749900,5.0,9299,1001,5
Tour and Travel,7 days ordinary dewasa Japan Rail JR Pass Shinkansen Jepang adult,Positive,Love,Kereeeeennnnnn. Mantab,2,Good / works / authentic product,Kota Tangerang Selatan,4439000,5.0,3014,547,5
Tour and Travel,7 days ordinary dewasa Japan Rail JR Pass Shinkansen Jepang adult,Positive,Love,Admin sangat ramah & sabar menghadapi berbagai pertanyaan2.. sangat rekomended !,3,"Responsive, friendly seller",Kota Tangerang Selatan,4439000,5.0,3014,547,5
Tour and Travel,7 days ordinary dewasa Japan Rail JR Pass Shinkansen Jepang adult,Positive,Love,"Bisa dipakai, trusted seller, recommended!",3,"Responsive, friendly seller",Kota Tangerang Selatan,4439000,5.0,3014,547,5
Tour and Travel,7 days ordinary dewasa Japan Rail JR Pass Shinkansen Jepang adult,Positive,Love,MANTULLL.. recommended seller,3,"Responsive, friendly seller",Kota Tangerang Selatan,4439000,5.0,3014,547,5
Tour and Travel,8 days ordinary dewasa Japan Rail JR Pass Shinkansen Jepang adult,Positive,Love,"Maaf baru review, respons seller sangat baik, produk harganya termasuk murah dr agen2 lain. Recommended sangat.",6,Affordable / good value,Kota Tangerang Selatan,4439000,5.0,3014,547,5
Tour and Travel,9 days ordinary dewasa Japan Rail JR Pass Shinkansen Jepang adult,Positive,Love,Respon cepat dan ramah. Recommended ??,9,"Responsive, friendly seller",Kota Tangerang Selatan,4439000,5.0,3014,547,5
Tour and Travel,10 days ordinary dewasa Japan Rail JR Pass Shinkansen Jepang adult,Positive,Love,Recommended seller ????????????,3,"Responsive, friendly seller",Kota Tangerang Selatan,4439000,5.0,3014,547,5
Tour and Travel,11 days ordinary dewasa Japan Rail JR Pass Shinkansen Jepang adult,Positive,Love,Seller responsive. Recomended,3,"Responsive, friendly seller",Kota Tangerang Selatan,4439000,5.0,3014,547,5
Tour and Travel,12 days ordinary dewasa Japan Rail JR Pass Shinkansen Jepang adult,Positive,Love,"Thanks atas respon nya. Informasi yg diberikan jelas, product nya oke bgt. Uda 2x order kesini. Barang yg di kirim rapi n cpt sampe nya.",9,"Responsive, friendly seller",Kota Tangerang Selatan,4439000,5.0,3014,547,5
Tour and Travel,13 days ordinary dewasa Japan Rail JR Pass Shinkansen Jepang adult,Positive,Love,oke yah kakakkk biasa langganannnnnn,2,Good / works / authentic product,Kota Tangerang Selatan,4439000,5.0,3014,547,5
Tour and Travel,14 days ordinary dewasa Japan Rail JR Pass Shinkansen Jepang adult,Positive,Love,Semoga lancar yah langganannnnn,2,Good / works / authentic product,Kota Tangerang Selatan,4439000,5.0,3014,547,5
Books,Buku Ajar Mata Kuliah Pendidikan Agama Islam,Positive,Happy,pengiriman cepat buku dalam kondisi baik,14,Good / works / authentic product,Kab. Bandung Barat,50000,4.9,5675,1776,5
Books,Buku Ajar Mata Kuliah Pendidikan Agama Islam,Positive,Happy,"puas , cuma untuk kemasanya kurang aman ya karna tidak pakai bublewrap , pake map coklat gitu , mapnya sobek ujung nya untung bukunya aman",14,Good / works / authentic product,Kab. Bandung Barat,50000,4.9,5675,1776,4
Books,Star Wars Trilogy White Leather (Exp),Positive,Happy,"Barang original dan masih segel, proses cepat, tidak sampai satu hari barang sudah sampai padahal pengiriman menggunakan bebas ongkir, barang dibungkus dengan bubble wrap tebal saat pengiriman, jadi aman.",8,Safe & neat packaging,Jakarta Barat,999000,5.0,9,4,5
Books,BUKU 1984 - GEORGE ORWELL,Positive,Love,Puas sih.. Recomended bukunya,14,Good / works / authentic product,Jakarta Selatan,89000,4.9,163,119,4
Books,THE BOOK OF IKIGAI,Positive,Love,"buku original, harga sangat murah jauh dibandingkan ditempat lain, seller ramah, packing rapi, buble wrapnya sangat tebel banget, puas Maksimal. terima kasih seller",14,Good / works / authentic product,Jakarta Selatan,69000,4.9,930,538,5
Books,THE BOOK OF IKIGAI,Positive,Happy,"isi buku sangat berkualitas. buku diterima baik walaupun packaging hanya dibungkus bubble wrap. beruntung tidak basah kehujanan, packaging perlu ditingkatkan keamanannya.",14,Good / works / authentic product,Jakarta Selatan,69000,4.9,930,538,4
Books,Segala - galanya Ambyar -Sebuah Buku tentang harapan,Positive,Happy,"Buku pasti ori, sesuai pesanan, proses pengiriman cepat, dapet harga murah pas bookcarnaval.",14,Good / works / authentic product,Jakarta Timur,90000,4.9,775,453,5
Books,Segala - galanya Ambyar -Sebuah Buku tentang harapan,Positive,Happy,Sesuai deskripsi tapi pemrosesan untuk dikirim lama,2,Good / works / authentic product,Jakarta Timur,90000,4.9,775,453,4
Books,Komik One Piece 95 by Eiichiro Oda,Positive,Love,"mantab, pengiriman cepat, packaging terbaik.",4,Safe & neat packaging,Jakarta Barat,22400,5.0,439,308,5
Books,The Psychology of Money - Morgan Housel,Positive,Happy,"buku sedikit cacat di bagian kertas, tapi overall mantap",14,Good / works / authentic product,Kota Bogor,75000,5.0,1245,731,4
Books,Buku Filosofi Teras - Original,Positive,Happy,pengemasan cepat dan datang nya juga cepat. thank you seller and kurir,3,"Responsive, friendly seller",Jakarta Barat,78400,5.0,1296,741,5
Books,Buku Filosofi Teras - Original,Positive,Happy,barang tiba dengan cepat sesuai standar pengiriman. tapi untuk kondisi buku ada cacat di tepi buku. tapi gapapa,14,Good / works / authentic product,Jakarta Barat,78400,5.0,1296,741,4
Books,Laut Bercerita,Positive,Love,"pengiriman cepat, adminnya responsif, buku kualitas bagus banget.",14,Good / works / authentic product,Jakarta Timur,100000,4.9,1089,575,5
Books,Laut Bercerita,Positive,Happy,"bukunya sampai dengan selamattt, tapi sayang banget di beberapa sudutnya ada sedikit damage",14,Good / works / authentic product,Jakarta Timur,100000,4.9,1089,575,4
Books,THE THINGS YOU CAN SEE ONLY WHEN YOU SLOW DOWN,Positive,Happy,pengiriman cepat sampai dan baik,1,Fast delivery,Kota Semarang,125000,4.8,285,150,5
Books,THE THINGS YOU CAN SEE ONLY WHEN YOU SLOW DOWN,Positive,Happy,"Buku sampai dengan kondisi aman dan baik, pengemasan dan pengiriman lumayan lama",14,Good / works / authentic product,Kota Semarang,125000,4.8,285,150,4
Books,Buku mommyclopedia - 78 resep mpasi ( full color ),Positive,Happy,"barang nya cepat sampai, dan nyampe di tangan aq dalam keadaaan baik, tulisan nya juga jelas banget, dan berwarna jadi ga bosen liat nya",0,Material & comfort,Jakarta Pusat,40000,5.0,415,189,5
Books,Buku mommyclopedia - 78 resep mpasi ( full color ),Positive,Happy,"Maaf baru kasih ulasan.. Buku nya bagus, berwarna, tulisan nya juga jelas, tapi ada di brapa halaman lem nya gx kuat ya, jadi pada copot lembaran nya.. seller, dan kurir oke",14,Good / works / authentic product,Jakarta Pusat,40000,5.0,415,189,4
Books,BUKU NOVEL DUNIA SOPHIE-REPUBLISH,Positive,Happy,sampai dengan selamat,2,Good / works / authentic product,Jakarta Selatan,135000,4.9,947,639,5
Books,BUKU NOVEL DUNIA SOPHIE-REPUBLISH,Positive,Happy,buku udah pasti original dan sangat bagus dengan pengemasan super aman hanya saja pengirimannya lambat,14,Good / works / authentic product,Jakarta Selatan,135000,4.9,947,639,4
Books,RAPIJALI DEE LESTARI - NON TTD,Positive,Love,"packing aman, pengiriman cepat, barang sesuai foto dan deskripsi, highly recommended",1,Fast delivery,Jakarta Selatan,99000,5.0,941,529,5
Books,RAPIJALI DEE LESTARI - NON TTD,Positive,Happy,barang cepat sampe. penjual fast respond. cuma dpt produk yg covernya agak lecek.,3,"Responsive, friendly seller",Jakarta Selatan,99000,5.0,941,529,4
Books,DUNIA ANNA,Positive,Happy,"bagus barangnya ga cacat, pelindungnya tebel, pengirimannya cepet banget",1,Fast delivery,Jakarta Selatan,65000,5.0,232,151,5
Books,DUNIA ANNA,Positive,Happy,defect dikit di ujungnya tp gpp,0,Material & comfort,Jakarta Selatan,65000,5.0,232,151,4
Books,Midnight Library /UK,Positive,Happy,"cepet banget pengirimannya, pengemasannya pun cepat dan dengan plastik bubble yg tebel banget jd aman.",8,Safe & neat packaging,Jakarta Timur,198000,5.0,271,159,5
Books,Midnight Library /UK,Positive,Happy,"pesanan aman dan pengirimannya cepet. seller juga responsif. bukunya ternyata gak tebel. thanks seller, bukunya sampe dalam keadaan aman. sayang aja gak kebagian bookmarks nya Periplus pdhl belanja banyak.",14,Good / works / authentic product,Jakarta Timur,198000,5.0,271,159,4
Books,1984 by George Orwell,Positive,Happy,Bubble wrap tebal. Original. Kualitas baru dan baik.,8,Safe & neat packaging,Jakarta Timur,146000,4.9,215,113,5
Books,1985 by George Orwell,Positive,Happy,Service pengiriman cepat,1,Fast delivery,Jakarta Timur,146000,4.9,215,113,4
Books,I Saw The Same Dream Again,Positive,Happy,Terimakasih barang sudah sampai dengan Selamat,5,Thanks & general praise,Kab. Tangerang,83000,5.0,234,152,5
Books,I Saw The Same Dream Again,Positive,Happy,"Barang sudah sampai, packing bagus",10,Safe & neat packaging,Kab. Tangerang,83000,5.0,234,152,4
Books,Novel Keajaiban Toko Kelontong Namiya Malice Newcomer Keigo Higashino - The Newcomer,Positive,Happy,"Buku ori, pengiriman cepat dan aman pakai bubble wrap",8,Safe & neat packaging,Jakarta Barat,74400,5.0,188,75,5
Books,THE MAGIC LIBRARY,Positive,Love,"arrived safely! yayy puas banget, thank uuu Mizan! cantik banget bukunya????. ga ada defect apapun yuhu, puass! thank youu mizan!!????",5,Thanks & general praise,Jakarta Selatan,69000,5.0,156,96,5
Books,THE MAGIC LIBRARY,Positive,Happy,pengiriman standart dan buku sampai dengan aman,14,Good / works / authentic product,Jakarta Selatan,69000,5.0,156,96,5
Books,THE MAGIC LIBRARY,Positive,Happy,"pengiriman cepat, buku sampai dengan selamat, keadaan buku baik baik saja, buku tidak ada cacat dan kekurangan",14,Good / works / authentic product,Jakarta Selatan,69000,5.0,156,96,5
Books,THE MAGIC LIBRARY,Positive,Happy,"pengiriman cepat, packing rapi dan aman. barang nya sesuai gambar. maaf gak sempat di foto",1,Fast delivery,Jakarta Selatan,69000,5.0,156,96,5
Books,Buku Ajar Mata Kuliah Pendidikan Agama Islam,Positive,Happy,"barang sampe bungkusnya udh sobek, untungnya bukunya masih aman walau ujungnya sedikit rusak",14,Good / works / authentic product,Kab. Bandung Barat,50000,4.9,5675,1776,3
Books,Buku Ajar Mata Kuliah Pendidikan Agama Islam,Positive,Happy,"ujungnya sedikit robek dan rusak, tapi secara keseluruhan baik",0,Material & comfort,Kab. Bandung Barat,50000,4.9,5675,1776,3
Books,BUKU 1984 - GEORGE ORWELL,Positive,Happy,"Bonus kalender nya lecek2, buku ok",14,Good / works / authentic product,Jakarta Selatan,89000,4.9,163,119,3
Books,Buku Filosofi Teras - Original,Positive,Love,"barang nya sampe dengan baik, tapi buku bukunya sangat mahal mungkin bisa di kurangin sedikit, saya suka banget dengan bukunya dan sepertinya saya aka beli buku lagi di sini terima kasih",14,Good / works / authentic product,Jakarta Barat,78400,5.0,1296,741,3
Books,Buku JAGO PROYEK untuk Arsitek dan Sipil,Positive,Happy,"Saya kira bukunya gede ternyata kecil,selain kecil tidak tebal juga.untuk packing lebih di tingkatkan lagi karena bukunya ujungnya basah.selebihnya termasuk respons bagus ..",14,Good / works / authentic product,Kota Tangerang,167000,4.6,562,187,3
Books,Spy x Family 01,Positive,Happy,"so far barang yg aku terima bagus no cacat, tp barang ini agak cacat di covernya, kynya dr pengiriman karena pas sampe packingnya dah kebuka gak tau kynya di sobek buat ngeliat isinya sm si kurir atau gmna jdnya bukunya kegesek huhu sedih sih tp untungnya cm cover doang gk sampe ke dalem",8,Safe & neat packaging,Kota Tangerang Selatan,36000,5.0,412,278,3
Books,Kapita Selekta Kedokteran Edisi 4 Revisi 2016 (Buku 1+ 2) Original,Positive,Happy,"Fast reponse , barang beberapa halaman ada yang blank",14,Good / works / authentic product,Jakarta Barat,185000,4.9,1137,368,3
Books,Kapita Selekta Kedokteran Edisi 4 Revisi 2016 (Buku 1+ 2) Original,Positive,Happy,barang bagus sesuai gambar tapi gaberwarna,0,Material & comfort,Jakarta Barat,185000,4.9,1137,368,3
Books,[ ORIGINAL ] Atlas Anatomi Manusia Edisi 7 - Frank H Netter,Positive,Happy,"Isi buku bagus, saya beli sekalian minta disampul. Tetapi halaman-halaman banyak yang menyatu, harus kita potong dengan cutter atau pisau secara manual. Sebenarnya saya tidak masalah tetapi saran saya sebaiknya seller memeriksa kembali barang sebelum dikirimkan dan memberitahu apabila ada kecacatan. Kemudian bila ada konsumen yang chat setelah barang sampai jangan cuman diread saja. Semoga bisa jadi bahan intropeksi dan membuat tokonya lebih maju",3,"Responsive, friendly seller",Jakarta Barat,352000,4.9,262,126,3
Books,BUKU MEDITATIONS - MARCUS AURELIUS,Positive,Happy,pengiriman lama. cuma penjualnya responsif. blm bisa kasih bintang 5,13,Thanks & general praise,Jakarta Selatan,89000,4.9,518,346,3
Books,BUKU MEDITATIONS - MARCUS AURELIUS,Positive,Happy,"bukunya sesuai, pengiriman cepat namun diletakkan begitu saja di lantai tanpa pemberitahuan/komunikasi dari kurir jika barang mau diletakkan/dititipkan, ada defect minor pada buku, tolong tingkatkan lagi kualitas packaging dan koordinasi dengan kurir",14,Good / works / authentic product,Jakarta Selatan,89000,4.9,518,346,3
Books,KOSMOS by Carl Sagan,Positive,Happy,"Over all bagus, hanya pengirimannya sedikit bermasalah, terimakasih",14,Good / works / authentic product,Jakarta Barat,80000,4.9,316,167,3
Books,KOSMOS by Carl Sagan,Positive,Happy,Packing ok di dalem di kasih bubble wrap. Buku juga ok isinya gk ada yg cacat cuman syang pinggiran buku nya sedikit rusak. Overal cukup puas beli di sini. Tunggu orderan sya selanjutnya,14,Good / works / authentic product,Jakarta Barat,80000,4.9,316,167,3
Books,Buku Yasin dan tahlil / yasin Soft Cover - YS 1,Positive,Happy,"barang bagus sesuai dekripsi.,tapi sayang packingnya kurang rapi dan ada beberapa yang rusak yasinnya.",4,Safe & neat packaging,Kota Tasikmalaya,5750,4.9,27500,324,3
Books,Buku JAGO PROYEK untuk Arsitek dan Sipil,Positive,Happy,sesuai deskripsi,11,Thanks & general praise,Kota Tangerang,167000,4.6,562,187,5
Books,Sejarah Dunia Yang Disembunyikan - Jonathan Black,Positive,Happy,"pengiriman cepat, packing rapih, buku masih tersegel dengan aman. terimakasih banyak.",14,Good / works / authentic product,Jakarta Barat,108000,4.9,462,251,5
Books,Sejarah Dunia Yang Disembunyikan - Jonathan Black,Positive,Happy,Kemasannya sangat bagus,2,Good / works / authentic product,Jakarta Barat,108000,4.9,462,251,5
Books,Sejarah Dunia Yang Disembunyikan - Jonathan Black,Positive,Happy,Mantap ori,11,Thanks & general praise,Jakarta Barat,108000,4.9,462,251,5
Books,Sejarah Dunia Yang Disembunyikan - Jonathan Black,Positive,Happy,barang sampai dengan aman,10,Safe & neat packaging,Jakarta Barat,108000,4.9,462,251,5
Books,Sejarah Dunia Yang Disembunyikan - Jonathan Black,Positive,Happy,fast response pengiriman cepat packing aman dan rapi buku ori harga bersaing,14,Good / works / authentic product,Jakarta Barat,108000,4.9,462,251,5
Books,Buku Bisnis Terbaik dijual Online - Business is FUN! by Coach Yohanes,Positive,Happy,"sesuai, ada kendala awalnya, tapi terselesaikan dengan cepat dan tanpa repot",9,"Responsive, friendly seller",Jakarta Utara,345000,4.9,955,440,4
Books,Buku Bisnis Terbaik dijual Online - Business is FUN! by Coach Yohanes,Positive,Love,Selama Saya berbelanja di Tokopedia. ini adalah pesanan dengan layanan tercepat yang saya terima. biasanya estimasi waktu pengiriman ke darah saya 5 hari. tapi Paket Business is FUN hanya 2 hari. the best.,3,"Responsive, friendly seller",Jakarta Utara,345000,4.9,955,440,5
Books,Buku Bisnis Terbaik dijual Online - Business is FUN! by Coach Yohanes,Positive,Love,"Mantaaapppp, wajib dibaca ini mah.",0,Material & comfort,Jakarta Utara,345000,4.9,955,440,5
Books,Buku Bisnis Terbaik dijual Online - Business is FUN! by Coach Yohanes,Positive,Happy,"Cepet nyampe, seller oke",3,"Responsive, friendly seller",Jakarta Utara,345000,4.9,955,440,5
Books,Technical Analysis For Mega Profit (Hardcover) - Edianto Ong,Positive,Happy,"admin fast respon, ramah, bukunya ori, diterima dalam keadaan tersegel, dimasukan dus dibungkus bubble wrap ..sangat memuaskan..terima kasih banyak",8,Safe & neat packaging,Kab. Tangerang,225000,4.9,390,214,5
Books,Technical Analysis For Mega Profit (Hardcover) - Edianto Ong,Positive,Love,"Fast response, cepat sampai, sesuai pesanan. Recommended !!!",9,"Responsive, friendly seller",Kab. Tangerang,225000,4.9,390,214,5
Books,Technical Analysis For Mega Profit (Hardcover) - Edianto Ong,Positive,Happy,"cuma penyok penyok doang , sisanya bagus kok",8,Safe & neat packaging,Kab. Tangerang,225000,4.9,390,214,4
Books,Technical Analysis For Mega Profit (Hardcover) - Edianto Ong,Positive,Happy,"Buku bagus, baru cek sekilas dalamnya tapi gaada masalah sih keknya. b4 karena detail covernya agak rusak gitu. ya itu aja sih keluhannya",14,Good / works / authentic product,Kab. Tangerang,225000,4.9,390,214,4
Books,The Alchemist 25th Anniversary: A Fable About Following Your Dream,Positive,Happy,"barang original, packaging aman.",4,Safe & neat packaging,Kab. Tangerang,160000,4.9,416,203,4
Books,The Alchemist 25th Anniversary: A Fable About Following Your Dream,Positive,Love,"Barang original, pengemasangan sangat baik dan sangat cepat, seller sangat fast respon",3,"Responsive, friendly seller",Kab. Tangerang,160000,4.9,416,203,5
Books,The Alchemist 25th Anniversary: A Fable About Following Your Dream,Positive,Happy,"Barang yg diterima dalam kondisi baik, pengirimannya lebih lama dari estimasi awal tp overall ok karena seller bantu informasikan kenapanya.. Thank you!",3,"Responsive, friendly seller",Kab. Tangerang,160000,4.9,416,203,5
Books,The Alchemist 25th Anniversary: A Fable About Following Your Dream,Positive,Happy,Pengiriman cepat + aman banyak bubble wrap. Harga pun lebih murah daripada competitor. Mantap.,8,Safe & neat packaging,Kab. Tangerang,160000,4.9,416,203,5
Books,The Alchemist 25th Anniversary: A Fable About Following Your Dream,Positive,Love,Sdh 2x beli disini dan gak pernah ada masalah. Packaging dan pengiriman oke.,4,Safe & neat packaging,Kab. Tangerang,160000,4.9,416,203,5
Books,Your Name - Shinkai Makoto - Haru,Positive,Love,Bahasa Indonesia. Diterima dengan baik. Barang bagus dan ori. Pengiriman cepat. MANTAPP JIWAAA ????,1,Fast delivery,Kota Tangerang Selatan,99900,4.9,211,155,5
Books,Your Name - Shinkai Makoto - Haru,Positive,Happy,"brg sesuai deskripsi, sukses selalu",10,Safe & neat packaging,Kota Tangerang Selatan,99900,4.9,211,155,5
